# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-539.9436	0.2026	0.0023	1.0000	2.0000
-535.0710	0.2030	0.0022	1.0000	2.0000
-530.0030	0.2035	0.0021	1.0000	2.0000
-525.0824	0.2045	0.0023	1.0000	2.0000
-519.9692	0.2049	0.0022	1.0000	2.0000
-514.9634	0.2043	0.0022	1.0000	2.0000
-509.9444	0.2046	0.0021	1.0000	2.0000
-505.0668	0.2056	0.0019	1.0000	2.0000
-499.9818	0.2064	0.0021	1.0000	2.0000
-495.0470	0.2067	0.0022	1.0000	2.0000
-489.9104	0.2074	0.0022	1.0000	2.0000
-484.9496	0.2085	0.0021	1.0000	2.0000
-479.9692	0.2086	0.0023	1.0000	2.0000
-474.9720	0.2090	0.0023	1.0000	2.0000
-469.9460	0.2093	0.0021	1.0000	2.0000
-465.0960	0.2099	0.0022	1.0000	2.0000
-460.0656	0.2095	0.0020	1.0000	2.0000
-455.0424	0.2112	0.0023	1.0000	2.0000
-449.9964	0.2108	0.0023	1.0000	2.0000
-444.9420	0.2111	0.0024	1.0000	2.0000
-440.0700	0.2114	0.0023	1.0000	2.0000
-435.0000	0.2122	0.0021	1.0000	2.0000
-429.9520	0.2125	0.0023	1.0000	2.0000
-424.9080	0.2139	0.0019	1.0000	2.0000
-420.0258	0.2141	0.0022	1.0000	2.0000
-414.9454	0.2135	0.0023	1.0000	2.0000
-410.0460	0.2141	0.0021	1.0000	2.0000
-404.9500	0.2152	0.0021	1.0000	2.0000
