# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-134.9448	-0.0329	0.0023	-1.0000	1.0000
-139.9942	-0.0336	0.0023	-1.0000	1.0000
-145.0492	-0.0342	0.0022	-1.0000	1.0000
-149.9040	-0.0344	0.0023	-1.0000	1.0000
-154.9640	-0.0356	0.0022	-1.0000	1.0000
-160.0100	-0.0364	0.0023	-1.0000	1.0000
-165.0350	-0.0366	0.0023	-1.0000	1.0000
-170.0660	-0.0373	0.0024	-1.0000	1.0000
-174.9044	-0.0385	0.0023	-1.0000	1.0000
-179.9444	-0.0386	0.0022	-1.0000	1.0000
-184.9844	-0.0382	0.0022	-1.0000	1.0000
-190.0550	-0.0379	0.0022	-1.0000	1.0000
-194.9750	-0.0384	0.0025	-1.0000	1.0000
-200.0328	-0.0381	0.0023	-1.0000	1.0000
-204.9478	-0.0384	0.0023	-1.0000	1.0000
-209.9108	-0.0388	0.0024	-1.0000	1.0000
-214.9758	-0.0388	0.0023	-1.0000	1.0000
-220.0584	-0.0388	0.0025	-1.0000	1.0000
-224.9736	-0.0385	0.0024	-1.0000	1.0000
-230.0516	-0.0391	0.0022	-1.0000	1.0000
-235.0216	-0.0398	0.0024	-1.0000	1.0000
-240.0140	-0.0404	0.0023	-1.0000	1.0000
-245.0640	-0.0410	0.0022	-1.0000	1.0000
-249.9096	-0.0404	0.0022	-1.0000	1.0000
-254.9496	-0.0408	0.0023	-1.0000	1.0000
-259.9860	-0.0408	0.0026	-1.0000	1.0000
-265.0110	-0.0417	0.0022	-1.0000	1.0000
-270.0312	-0.0416	0.0025	-1.0000	1.0000
-275.0362	-0.0414	0.0024	-1.0000	1.0000
-280.0496	-0.0418	0.0024	-1.0000	1.0000
-285.0896	-0.0427	0.0023	-1.0000	1.0000
-289.9210	-0.0426	0.0022	-1.0000	1.0000
-294.9260	-0.0411	0.0012	-1.0000	1.0000
-299.9310	-0.0420	0.0022	-1.0000	1.0000
-304.9360	-0.0410	0.0018	-1.0000	1.0000
-309.9320	-0.0406	0.0010	-1.0000	1.0000
-315.0904	-0.0409	0.0009	-1.0000	1.0000
-320.0588	-0.0409	0.0013	-1.0000	1.0000
-325.0538	-0.0421	0.0021	-1.0000	1.0000
-330.0416	-0.0428	0.0024	-1.0000	1.0000
-335.0066	-0.0430	0.0026	-1.0000	1.0000
-339.9644	-0.0430	0.0022	-1.0000	1.0000
-345.0968	-0.0439	0.0022	-1.0000	1.0000
-350.0570	-0.0447	0.0024	-1.0000	1.0000
-355.0820	-0.0458	0.0025	-1.0000	1.0000
-360.0762	-0.0465	0.0022	-1.0000	1.0000
-364.9912	-0.0458	0.0020	-1.0000	1.0000
-369.9398	-0.0458	0.0021	-1.0000	1.0000
-374.9748	-0.0450	0.0022	-1.0000	1.0000
-379.9930	-0.0450	0.0025	-1.0000	1.0000
-384.9680	-0.0448	0.0021	-1.0000	1.0000
-389.9332	-0.0448	0.0014	-1.0000	1.0000
-395.0708	-0.0442	0.0015	-1.0000	1.0000
-399.9948	-0.0446	0.0022	-1.0000	1.0000
-405.0804	-0.0448	0.0024	-1.0000	1.0000
-409.9722	-0.0447	0.0018	-1.0000	1.0000
-415.0630	-0.0453	0.0027	-1.0000	1.0000
-419.9600	-0.0450	0.0022	-1.0000	1.0000
-425.0560	-0.0440	0.0017	-1.0000	1.0000
-429.9626	-0.0445	0.0015	-1.0000	1.0000
-435.0742	-0.0454	0.0018	-1.0000	1.0000
-439.9604	-0.0453	0.0017	-1.0000	1.0000
-445.0096	-0.0454	0.0012	-1.0000	1.0000
-450.0280	-0.0467	0.0012	-1.0000	1.0000
-455.0200	-0.0476	0.0018	-1.0000	1.0000
-460.0760	-0.0483	0.0018	-1.0000	1.0000
-464.9760	-0.0500	0.0019	-1.0000	1.0000
-470.0040	-0.0505	0.0018	-1.0000	1.0000
-474.9960	-0.0508	0.0022	-1.0000	1.0000
-480.0108	-0.0503	0.0027	-1.0000	1.0000
-485.0340	-0.0503	0.0022	-1.0000	1.0000
-490.0614	-0.0497	0.0025	-1.0000	1.0000
-495.0898	-0.0496	0.0020	-1.0000	1.0000
-500.0032	-0.0492	0.0023	-1.0000	1.0000
-505.0900	-0.0487	0.0024	-1.0000	1.0000
-510.0820	-0.0486	0.0023	-1.0000	1.0000
-515.0668	-0.0497	0.0023	-1.0000	1.0000
-519.9652	-0.0497	0.0021	-1.0000	1.0000
-525.0560	-0.0492	0.0015	-1.0000	1.0000
-529.9752	-0.0491	0.0016	-1.0000	1.0000
-535.0292	-0.0495	0.0018	-1.0000	1.0000
-539.9540	-0.0494	0.0020	-1.0000	1.0000
-545.0456	-0.0494	0.0019	-1.0000	1.0000
-549.9380	-0.0495	0.0021	-1.0000	1.0000
-555.0260	-0.0499	0.0022	-1.0000	1.0000
-559.9400	-0.0500	0.0025	-1.0000	1.0000
-564.9732	-0.0503	0.0019	-1.0000	1.0000
-569.9506	-0.0504	0.0017	-1.0000	1.0000
-575.0566	-0.0510	0.0022	-1.0000	1.0000
-580.0456	-0.0512	0.0018	-1.0000	1.0000
-585.0428	-0.0505	0.0019	-1.0000	1.0000
-590.0764	-0.0512	0.0022	-1.0000	1.0000
-595.0092	-0.0513	0.0022	-1.0000	1.0000
-600.0208	-0.0519	0.0025	-1.0000	1.0000
